Run	Year	Species	pSpp	Area
1	20	 EMe	0.006971	2722.000000
1	20	 EC	0.000066	25.750000
1	20	 Pg	0.030191	11789.500000
1	20	 PgBb	0.006487	2533.000000
1	20	 PgPe	0.008773	3425.750000
1	20	 PgE	0.186103	72672.250000
1	20	 PgMe	0.000104	40.750000
1	20	 PgS	0.000021	8.250000
1	20	 S	0.018939	7395.500000
1	20	 SBb	0.023654	9236.750000
1	20	 SPe	0.010013	3910.000000
1	20	 SE	0.004353	1699.750000
1	20	 SPg	0.000164	64.000000
1	20	 SMe	0.000077	30.250000
1	20	 SC	0.000050	19.500000
1	20	 Me	0.000133	52.000000
1	20	 MeE	0.001499	585.500000
1	20	 MePg	0.000064	25.000000
1	20	 C	0.000012	4.500000
1	20	 CBb	0.000039	15.250000
1	20	 CE	0.000050	19.500000
1	20	 CS	0.000058	22.500000
1	25	 Bb	0.081159	31692.000000
1	25	 BbPe	0.078190	30532.750000
1	25	 BbE	0.016731	6533.500000
1	25	 BbPg	0.001437	561.250000
1	25	 BbS	0.186842	72960.750000
1	25	 Pe	0.004392	1715.000000
1	25	 PeBb	0.056262	21970.000000
1	25	 PeE	0.006433	2512.000000
1	25	 PePg	0.002969	1159.500000
1	25	 PeS	0.001205	470.500000
1	25	 E	0.138184	53960.250000
1	25	 EBb	0.032045	12513.250000
1	25	 EPe	0.019134	7471.750000
1	25	 EPg	0.032614	12735.500000
1	25	 ES	0.044583	17409.250000
1	25	 EMe	0.006971	2722.000000
1	25	 EC	0.000066	25.750000
1	25	 Pg	0.030191	11789.500000
1	25	 PgBb	0.006487	2533.000000
1	25	 PgPe	0.008773	3425.750000
1	25	 PgE	0.186103	72672.250000
1	25	 PgMe	0.000104	40.750000
1	25	 PgS	0.000021	8.250000
1	25	 S	0.018939	7395.500000
1	25	 SBb	0.023654	9236.750000
1	25	 SPe	0.010013	3910.000000
1	25	 SE	0.004353	1699.750000
1	25	 SPg	0.000164	64.000000
1	25	 SMe	0.000077	30.250000
1	25	 SC	0.000050	19.500000
1	25	 Me	0.000133	52.000000
1	25	 MeE	0.001499	585.500000
1	25	 MePg	0.000064	25.000000
1	25	 C	0.000012	4.500000
1	25	 CBb	0.000039	15.250000
1	25	 CE	0.000050	19.500000
1	25	 CS	0.000058	22.500000
1	30	 Bb	0.081159	31692.000000
1	30	 BbPe	0.078190	30532.750000
1	30	 BbE	0.016731	6533.500000
1	30	 BbPg	0.001437	561.250000
1	30	 BbS	0.186842	72960.750000
1	30	 Pe	0.004392	1715.000000
1	30	 PeBb	0.056262	21970.000000
1	30	 PeE	0.006433	2512.000000
1	30	 PePg	0.002969	1159.500000
1	30	 PeS	0.001205	470.500000
1	30	 E	0.138184	53960.250000
1	30	 EBb	0.032045	12513.250000
1	30	 EPe	0.019134	7471.750000
1	30	 EPg	0.032614	12735.500000
1	30	 ES	0.044583	17409.250000
1	30	 EMe	0.006971	2722.000000
1	30	 EC	0.000066	25.750000
1	30	 Pg	0.030191	11789.500000
1	30	 PgBb	0.006487	2533.000000
1	30	 PgPe	0.008773	3425.750000
1	30	 PgE	0.186103	72672.250000
1	30	 PgMe	0.000104	40.750000
1	30	 PgS	0.000021	8.250000
1	30	 S	0.018939	7395.500000
1	30	 SBb	0.023654	9236.750000
1	30	 SPe	0.010013	3910.000000
1	30	 SE	0.004353	1699.750000
1	30	 SPg	0.000164	64.000000
1	30	 SMe	0.000077	30.250000
1	30	 SC	0.000050	19.500000
1	30	 Me	0.000133	52.000000
1	30	 MeE	0.001499	585.500000
1	30	 MePg	0.000064	25.000000
1	30	 C	0.000012	4.500000
1	30	 CBb	0.000039	15.250000
1	30	 CE	0.000050	19.500000
1	30	 CS	0.000058	22.500000
1	35	 Bb	0.081159	31692.000000
