Index	AC0-19	AC20-39	AC40-59	AC60-79	AC80-99	AC100-120		
777	0	0	0	0	0	0	 PgE	RE20
781	0	0	0	0	0	0	 PgMe	RE20
783	0	0	0	0	0	0	 S	RE20
784	0	0	0	0	0	0	 SBb	RE20
785	0	0	0	0	0	0	 SPe	RE20
786	0	0	0.7	0.7	0.7	0	 SE	RE20
787	0	0	0	0	0	0	 SPg	RE20
829	0	0	0	0	0	0	 Bb	RE21
834	0	0	0	0	0	0	 BbS	RE21
839	0	0	0	0	0	0	 PeBb	RE21
842	0	0	0	0	0	0	 PePg	RE21
847	0	0	0	0	0	0	 E	RE21
849	0	0	0	0	0	0	 EPe	RE21
851	0	0	0	0	0	0	 EPg	RE21
852	0	0	0	0	0	0	 ES	RE21
854	0	0	0	0	0	0	 EMe	RE21
856	0	0	0	0	0	0	 Pg	RE21
857	0	0	0	0	0	0	 PgBb	RE21
858	0	0.1	0.1	0.3	0.3	0	 PgPe	RE21
859	0	0	0	0	0	0	 PgE	RE21
863	0	0	0	0	0	0	 PgMe	RE21
865	0	0	0	0	0	0	 S	RE21
866	0	0	0.1	0.2	0	0	 SBb	RE21
867	0	0	0	0	0	0	 SPe	RE21
868	0	0	0	0	0	0	 SE	RE21
869	0	0	0	0	0	0	 SPg	RE21
872	0	0	0	0	0	0	 SMe	RE21
886	0	0	0	0	0	0	 MeE	RE21
887	0	0	0	0	0	0	 MePg	RE21
929	0	0	0	0	0	0	 E	RE22
930	0	0	0	0	0	0	 EBb	RE22
933	0	0	0	0	0	0	 EPg	RE22
934	0	0	0	0	0	0	 ES	RE22
936	0	0	22.3	0	0	0	 EMe	RE22
938	0	0	0	0	0	0	 Pg	RE22
941	0	0	0	0	0	0	 PgE	RE22
945	0	0	0	0	0	0	 PgMe	RE22
947	0	0	0	0	0	0	 S	RE22
950	0	1.6	2.2	1.5	1.5	0	 SE	RE22
951	0	0	0	0	0	0	 SPg	RE22
965	0	0	0.3	0.4	1.2	0	 Me	RE22
968	0	0	5	2.1	5.4	0	 MeE	RE22
969	0	0	0	0	0.5	0	 MePg	RE22
998	0	0	0	0	0	0	 BbS	RE24
1011	0	0	0	0	0	0	 E	RE24
1012	0	0	0	0	0	0	 EBb	RE24
1013	0	0	0	0	0	0	 EPe	RE24
1015	0	0	3.2	3.1	5.6	0	 EPg	RE24
1016	0	0	0	0	0	0	 ES	RE24
1018	0	0	8.1	3	6.3	0	 EMe	RE24
1020	0	0	0	0	0	0	 Pg	RE24
1023	0	0	0	0	0	0	 PgE	RE24
1027	0	0	0	0	0	0	 PgMe	RE24
1029	0	0	0	0	0	0	 S	RE24
1032	0	0	0	0	0	0	 SE	RE24
1047	0	0	0	0	0	0	 Me	RE24
1050	0	0	0	0	0	0	 MeE	RE24
1075	0	0	0	0	0.2	0	 Bb	RE25
1077	0	0	0	0	0	0	 BbPe	RE25
1078	0	0	0	0	0	0	 BbE	RE25
1079	0	0	0	0	0.3	0	 BbPg	RE25
1080	0	0	0	0	0	0	 BbS	RE25
1085	0	0	0	0	0	0	 PeBb	RE25
1087	0	0	0	0	0	0	 PeE	RE25
1088	0	0	0	0	0	0	 PePg	RE25
