Run	Year	CategoryId	Category	Vol	Area
1	80	5	lAdjGreenup	660849.095000	58619.500000
1	80	6	lACReserve	0	0
1	80	7	lMosaicReserve	0	0
1	80	8	lStripCutReserve	0	0
1	85	0	lTotal	126551313.372655	390542.750000
1	85	1	lAvailable	35055385.107465	93830.250000
1	85	2	lMHA	39692570.159972	107628.000000
1	85	3	lProtected	14226475.877497	46673.750000
1	85	4	lDist	0	0
1	85	5	lAdjGreenup	649210.517500	58619.500000
1	85	6	lACReserve	0	0
1	85	7	lMosaicReserve	0	0
1	85	8	lStripCutReserve	0	0
1	90	0	lTotal	130393173.244606	390542.750000
1	90	1	lAvailable	35864174.662495	93830.250000
1	90	2	lMHA	40611076.130010	107628.000000
1	90	3	lProtected	14700177.672488	46673.750000
1	90	4	lDist	0	0
1	90	5	lAdjGreenup	649210.517500	58619.500000
1	90	6	lACReserve	0	0
1	90	7	lMosaicReserve	0	0
1	90	8	lStripCutReserve	0	0
1	95	0	lTotal	134076326.945149	390542.750000
1	95	1	lAvailable	36665871.872479	93830.250000
1	95	2	lMHA	41527697.209970	107628.000000
1	95	3	lProtected	15160312.614992	46673.750000
1	95	4	lDist	0	0
1	95	5	lAdjGreenup	649210.517500	58619.500000
1	95	6	lACReserve	0	0
1	95	7	lMosaicReserve	0	0
1	95	8	lStripCutReserve	0	0
1	100	0	lTotal	137427547.447689	390542.750000
1	100	1	lAvailable	37526056.024950	93830.250000
1	100	2	lMHA	42472307.537436	107628.000000
1	100	3	lProtected	15444577.889988	46673.750000
1	100	4	lDist	0	0
1	100	5	lAdjGreenup	649210.517500	58619.500000
1	100	6	lACReserve	0	0
1	100	7	lMosaicReserve	0	0
1	100	8	lStripCutReserve	0	0
1	105	0	lTotal	140027992.753016	390542.750000
1	105	1	lAvailable	38182402.107503	93830.250000
1	105	2	lMHA	43205887.829988	107628.000000
1	105	3	lProtected	15757741.939983	46673.750000
1	105	4	lDist	0	0
1	105	5	lAdjGreenup	649101.662500	58619.500000
1	105	6	lACReserve	0	0
1	105	7	lMosaicReserve	0	0
1	105	8	lStripCutReserve	0	0
1	110	0	lTotal	142928740.699647	390542.750000
1	110	1	lAvailable	38888694.510009	93830.250000
1	110	2	lMHA	44023888.715013	107628.000000
1	110	3	lProtected	16121150.692495	46673.750000
1	110	4	lDist	0	0
1	110	5	lAdjGreenup	649101.662500	58619.500000
1	110	6	lACReserve	0	0
1	110	7	lMosaicReserve	0	0
1	110	8	lStripCutReserve	0	0
1	115	0	lTotal	146169957.209733	390542.750000
1	115	1	lAvailable	39728617.945030	93830.250000
1	115	2	lMHA	44974323.392530	107628.000000
1	115	3	lProtected	16540518.304999	46673.750000
1	115	4	lDist	0	0
1	115	5	lAdjGreenup	649101.662500	58619.500000
1	115	6	lACReserve	0	0
1	115	7	lMosaicReserve	0	0
1	115	8	lStripCutReserve	0	0
1	120	0	lTotal	149343808.369501	390542.750000
1	120	1	lAvailable	40557849.710008	93830.250000
1	120	2	lMHA	45913139.727547	107628.000000
1	120	3	lProtected	16957117.460001	46673.750000
1	120	4	lDist	0	0
1	120	5	lAdjGreenup	649101.662500	58619.500000
1	120	6	lACReserve	0	0
1	120	7	lMosaicReserve	0	0
1	120	8	lStripCutReserve	0	0
1	125	0	lTotal	152178193.702520	390542.750000
1	125	1	lAvailable	41265029.162492	93830.250000
1	125	2	lMHA	46728643.932486	107628.000000
1	125	3	lProtected	17349617.319998	46673.750000
1	125	4	lDist	0	0
1	125	5	lAdjGreenup	649101.662500	58619.500000
1	125	6	lACReserve	0	0
1	125	7	lMosaicReserve	0	0
1	125	8	lStripCutReserve	0	0
1	130	0	lTotal	154987968.169681	390542.750000
1	130	1	lAvailable	41955734.215043	93830.250000
1	130	2	lMHA	47525490.337547	107628.000000
1	130	3	lProtected	17750656.037498	46673.750000
1	130	4	lDist	0	0
1	130	5	lAdjGreenup	648294.220000	58619.500000
1	130	6	lACReserve	0	0
1	130	7	lMosaicReserve	0	0
1	130	8	lStripCutReserve	0	0
1	135	0	lTotal	157866169.262456	390542.750000
1	135	1	lAvailable	42689903.357538	93830.250000
1	135	2	lMHA	48364121.762536	107628.000000
1	135	3	lProtected	18131585.629998	46673.750000
1	135	4	lDist	0	0
1	135	5	lAdjGreenup	648294.220000	58619.500000
1	135	6	lACReserve	0	0
1	135	7	lMosaicReserve	0	0
1	135	8	lStripCutReserve	0	0
1	140	0	lTotal	159625507.474640	390542.750000
1	140	1	lAvailable	43101420.785042	93830.250000
1	140	2	lMHA	48786841.190080	107628.000000
1	140	3	lProtected	18352195.897506	46673.750000
1	140	4	lDist	0	0
1	140	5	lAdjGreenup	642037.950000	58619.500000
1	140	6	lACReserve	0	0
1	140	7	lMosaicReserve	0	0
