Run	LandUnit	BlockClass	BlockSizeMid	NumBlocks	Area	pNumBlocks	pArea
1	0	0	25	0	0	0	0
1	0	1	75	0	0	0	0
1	0	2	125	0	0	0	0
1	0	3	175	0	0	0	0
1	0	4	225	0	0	0	0
1	0	5	275	0	0	0	0
1	0	6	325	0	0	0	0
1	0	7	375	0	0	0	0
1	0	8	425	0	0	0	0
1	0	9	475	0	0	0	0
1	0	10	525	0	0	0	0
1	0	11	575	0	0	0	0
1	0	12	625	0	0	0	0
1	0	13	675	0	0	0	0
1	0	14	725	0	0	0	0
1	0	15	775	0	0	0	0
1	0	16	825	0	0	0	0
1	0	17	875	0	0	0	0
1	0	18	925	0	0	0	0
1	0	19	975	0	0	0	0
1	0	20	1025	0	0	0	0
1	0	21	1075	0	0	0	0
1	0	22	1125	0	0	0	0
1	0	23	1175	0	0	0	0
1	0	24	1225	0	0	0	0
1	0	25	1275	0	0	0	0
1	0	26	1325	0	0	0	0
1	0	27	1375	0	0	0	0
1	0	28	1425	0	0	0	0
1	0	29	1475	0	0	0	0
1	0	30	1525	0	0	0	0
1	0	31	1575	0	0	0	0
1	0	32	1625	0	0	0	0
1	0	33	1675	0	0	0	0
1	0	34	1725	0	0	0	0
1	0	35	1775	0	0	0	0
1	0	36	1825	0	0	0	0
1	0	37	1875	0	0	0	0
1	0	38	1925	0	0	0	0
1	0	39	1975	0	0	0	0
1	0	40	2025	0	0	0	0
1	0	41	2075	0	0	0	0
1	0	42	2125	0	0	0	0
1	0	43	2175	0	0	0	0
1	0	44	2225	0	0	0	0
1	0	45	2275	0	0	0	0
1	0	46	2325	0	0	0	0
1	0	47	2375	0	0	0	0
1	0	48	2425	0	0	0	0
1	0	49	2475	0	0	0	0
1	0	50	2525	0	0	0	0
1	0	51	2575	0	0	0	0
1	0	52	2625	0	0	0	0
1	0	53	2675	0	0	0	0
1	0	54	2725	0	0	0	0
1	0	55	2775	0	0	0	0
1	0	56	2825	0	0	0	0
1	0	57	2875	0	0	0	0
1	0	58	2925	0	0	0	0
1	0	59	2975	0	0	0	0
1	0	60	3025	0	0	0	0
1	0	61	3075	0	0	0	0
1	0	62	3125	0	0	0	0
1	0	63	3175	0	0	0	0
1	0	64	3225	0	0	0	0
1	0	65	3275	0	0	0	0
1	0	66	3325	0	0	0	0
1	0	67	3375	0	0	0	0
1	0	68	3425	0	0	0	0
1	0	69	3475	0	0	0	0
1	0	70	3525	0	0	0	0
1	0	71	3575	0	0	0	0
1	0	72	3625	0	0	0	0
1	0	73	3675	0	0	0	0
1	0	74	3725	0	0	0	0
1	0	75	3775	0	0	0	0
1	0	76	3825	0	0	0	0
1	0	77	3875	0	0	0	0
1	0	78	3925	0	0	0	0
1	0	79	3975	0	0	0	0
1	0	80	4025	0	0	0	0
1	0	81	4075	0	0	0	0
1	0	82	4125	0	0	0	0
1	0	83	4175	0	0	0	0
1	0	84	4225	0	0	0	0
1	0	85	4275	0	0	0	0
1	0	86	4325	0	0	0	0
1	0	87	4375	0	0	0	0
1	0	88	4425	0	0	0	0
1	0	89	4475	0	0	0	0
1	0	90	4525	0	0	0	0
1	0	91	4575	0	0	0	0
1	0	92	4625	0	0	0	0
1	0	93	4675	0	0	0	0
1	0	94	4725	0	0	0	0
1	0	95	4775	0	0	0	0
1	0	96	4825	0	0	0	0
1	0	97	4875	0	0	0	0
1	0	98	4925	0	0	0	0
1	0	99	4975	0	0	0	0
1	0	100	5025	0	0	0	0
1	0	101	5075	0	0	0	0
1	0	102	5125	0	0	0	0
1	0	103	5175	0	0	0	0
1	0	104	5225	0	0	0	0
1	0	105	5275	0	0	0	0
1	0	106	5325	0	0	0	0
1	0	107	5375	0	0	0	0
1	0	108	5425	0	0	0	0
1	0	109	5475	0	0	0	0
1	0	110	5525	0	0	0	0
1	0	111	5575	0	0	0	0
1	0	112	5625	0	0	0	0
1	0	113	5675	0	0	0	0
1	0	114	5725	0	0	0	0
1	0	115	5775	0	0	0	0
1	0	116	5825	0	0	0	0
1	0	117	5875	0	0	0	0
1	0	118	5925	0	0	0	0
1	0	119	5975	0	0	0	0
1	0	120	6025	0	0	0	0
1	0	121	6075	0	0	0	0
1	0	122	6125	0	0	0	0
1	0	123	6175	0	0	0	0
1	0	124	6225	0	0	0	0
1	0	125	6275	0	0	0	0
1	0	126	6325	0	0	0	0
1	0	127	6375	0	0	0	0
1	0	128	6425	0	0	0	0
1	0	129	6475	0	0	0	0
1	0	130	6525	0	0	0	0
1	0	131	6575	0	0	0	0
1	0	132	6625	0	0	0	0
1	0	133	6675	0	0	0	0
1	0	134	6725	0	0	0	0
1	0	135	6775	0	0	0	0
1	0	136	6825	0	0	0	0
1	0	137	6875	0	0	0	0
1	0	138	6925	0	0	0	0
1	0	139	6975	0	0	0	0
1	0	140	7025	0	0	0	0
1	0	141	7075	0	0	0	0
1	0	142	7125	0	0	0	0
1	0	143	7175	0	0	0	0
1	0	144	7225	0	0	0	0
1	0	145	7275	0	0	0	0
1	0	146	7325	0	0	0	0
1	0	147	7375	0	0	0	0
1	0	148	7425	0	0	0	0
1	0	149	7475	0	0	0	0
1	0	150	7525	0	0	0	0
1	0	151	7575	0	0	0	0
1	0	152	7625	0	0	0	0
1	0	153	7675	0	0	0	0
1	0	154	7725	0	0	0	0
1	0	155	7775	0	0	0	0
1	0	156	7825	0	0	0	0
1	0	157	7875	0	0	0	0
1	0	158	7925	0	0	0	0
1	0	159	7975	0	0	0	0
1	0	160	8025	0	0	0	0
1	0	161	8075	0	0	0	0
1	0	162	8125	0	0	0	0
1	0	163	8175	0	0	0	0
1	0	164	8225	0	0	0	0
1	0	165	8275	0	0	0	0
1	0	166	8325	0	0	0	0
1	0	167	8375	0	0	0	0
