Run	Year	SEGroup	Species	pSpp	Area
1	5	19	 PeBb	0.133490	9727.250000
1	5	9	 Bb	0.084242	413.500000
1	5	11	 BbPe	0.133340	654.500000
1	5	12	 BbE	0.002598	12.750000
1	5	14	 BbS	0.448660	2202.250000
1	5	18	 Pe	0.003362	16.500000
1	5	19	 PeBb	0.117755	578.000000
1	5	9	 Bb	0.000024	1.000000
1	5	11	 BbPe	0.001167	48.750000
1	5	12	 BbE	0.000575	24.000000
1	5	19	 PeBb	0.001377	57.500000
1	5	9	 Bb	0.000462	14.500000
1	5	14	 BbS	0.000143	4.500000
1	5	19	 PeBb	0.000406	12.750000
1	5	14	 BbS	0.001706	30.000000
1	5	9	 Bb	0.001638	27.000000
1	5	11	 BbPe	0.050662	835.250000
1	5	12	 BbE	0.075379	1242.750000
1	5	13	 BbPg	0.004094	67.500000
1	5	14	 BbS	0.018409	303.500000
1	5	19	 PeBb	0.044035	726.000000
1	5	9	 Bb	0.002042	29.250000
1	5	11	 BbPe	0.048971	701.500000
1	5	12	 BbE	0.028098	402.500000
1	5	13	 BbPg	0.001483	21.250000
1	5	14	 BbS	0.012705	182.000000
1	5	18	 Pe	0.002374	34.000000
1	5	19	 PeBb	0.050158	718.500000
1	5	9	 Bb	0.001485	81.500000
1	5	11	 BbPe	0.057095	3133.500000
1	5	12	 BbE	0.044714	2454.000000
1	5	13	 BbPg	0.004856	266.500000
1	5	14	 BbS	0.021596	1185.250000
1	5	18	 Pe	0.000492	27.000000
1	5	19	 PeBb	0.075198	4127.000000
1	5	9	 Bb	0.000385	7.500000
1	5	11	 BbPe	0.026643	518.750000
1	5	12	 BbE	0.065329	1272.000000
1	5	13	 BbPg	0.001040	20.250000
1	5	14	 BbS	0.042975	836.750000
1	5	18	 Pe	0.000886	17.250000
1	5	19	 PeBb	0.022547	439.000000
1	5	9	 Bb	0.002325	11.250000
1	5	11	 BbPe	0.116583	564.000000
1	5	12	 BbE	0.096377	466.250000
1	5	13	 BbPg	0.014883	72.000000
1	5	14	 BbS	0.049145	237.750000
1	5	18	 Pe	0.002532	12.250000
