Run	Year	MgmtZoneId	MgmtZone	CategoryId	Category	Vol	Area
1	55	5	5	3	lProtected	0	0
1	55	7	7	3	lProtected	0	0
1	55	1	1	4	lDist	0	0
1	55	5	5	4	lDist	0	0
1	55	7	7	4	lDist	0	0
1	55	1	1	5	lAdjGreenup	0	0
1	55	5	5	5	lAdjGreenup	0	0
1	55	7	7	5	lAdjGreenup	0	0
1	55	1	1	6	lACReserve	0	0
1	55	5	5	6	lACReserve	0	0
1	55	7	7	6	lACReserve	0	0
1	55	1	1	7	lMosaicReserve	0	0
1	55	5	5	7	lMosaicReserve	0	0
1	55	7	7	7	lMosaicReserve	0	0
1	55	1	1	8	lStripCutReserve	0	0
1	55	5	5	8	lStripCutReserve	0	0
1	55	7	7	8	lStripCutReserve	0	0
1	60	1	1	0	lTotal	0	0
1	60	5	5	0	lTotal	0	0
1	60	7	7	0	lTotal	0	0
1	60	1	1	1	lAvailable	0	0
1	60	5	5	1	lAvailable	0	0
1	60	7	7	1	lAvailable	0	0
1	60	1	1	2	lMHA	0	0
1	60	5	5	2	lMHA	0	0
1	60	7	7	2	lMHA	0	0
1	60	1	1	3	lProtected	0	0
1	60	5	5	3	lProtected	0	0
1	60	7	7	3	lProtected	0	0
1	60	1	1	4	lDist	0	0
1	60	5	5	4	lDist	0	0
1	60	7	7	4	lDist	0	0
1	60	1	1	5	lAdjGreenup	0	0
1	60	5	5	5	lAdjGreenup	0	0
1	60	7	7	5	lAdjGreenup	0	0
1	60	1	1	6	lACReserve	0	0
1	60	5	5	6	lACReserve	0	0
1	60	7	7	6	lACReserve	0	0
1	60	1	1	7	lMosaicReserve	0	0
1	60	5	5	7	lMosaicReserve	0	0
1	60	7	7	7	lMosaicReserve	0	0
1	60	1	1	8	lStripCutReserve	0	0
1	60	5	5	8	lStripCutReserve	0	0
1	60	7	7	8	lStripCutReserve	0	0
1	65	1	1	0	lTotal	0	0
1	65	5	5	0	lTotal	0	0
1	65	7	7	0	lTotal	0	0
1	65	1	1	1	lAvailable	0	0
1	65	5	5	1	lAvailable	0	0
1	65	7	7	1	lAvailable	0	0
1	65	1	1	2	lMHA	0	0
1	65	5	5	2	lMHA	0	0
1	65	7	7	2	lMHA	0	0
1	65	1	1	3	lProtected	0	0
1	65	5	5	3	lProtected	0	0
1	65	7	7	3	lProtected	0	0
1	65	1	1	4	lDist	0	0
1	65	5	5	4	lDist	0	0
1	65	7	7	4	lDist	0	0
1	65	1	1	5	lAdjGreenup	0	0
1	65	5	5	5	lAdjGreenup	0	0
1	65	7	7	5	lAdjGreenup	0	0
1	65	1	1	6	lACReserve	0	0
1	65	5	5	6	lACReserve	0	0
1	65	7	7	6	lACReserve	0	0
1	65	1	1	7	lMosaicReserve	0	0
1	65	5	5	7	lMosaicReserve	0	0
1	65	7	7	7	lMosaicReserve	0	0
1	65	1	1	8	lStripCutReserve	0	0
1	65	5	5	8	lStripCutReserve	0	0
1	65	7	7	8	lStripCutReserve	0	0
1	70	1	1	0	lTotal	0	0
1	70	5	5	0	lTotal	0	0
1	70	7	7	0	lTotal	0	0
1	70	1	1	1	lAvailable	0	0
1	70	5	5	1	lAvailable	0	0
1	70	7	7	1	lAvailable	0	0
1	70	1	1	2	lMHA	0	0
1	70	5	5	2	lMHA	0	0
1	70	7	7	2	lMHA	0	0
1	70	1	1	3	lProtected	0	0
1	70	5	5	3	lProtected	0	0
1	70	7	7	3	lProtected	0	0
1	70	1	1	4	lDist	0	0
1	70	5	5	4	lDist	0	0
1	70	7	7	4	lDist	0	0
1	70	1	1	5	lAdjGreenup	0	0
1	70	5	5	5	lAdjGreenup	0	0
1	70	7	7	5	lAdjGreenup	0	0
1	70	1	1	6	lACReserve	0	0
1	70	5	5	6	lACReserve	0	0
1	70	7	7	6	lACReserve	0	0
1	70	1	1	7	lMosaicReserve	0	0
1	70	5	5	7	lMosaicReserve	0	0
1	70	7	7	7	lMosaicReserve	0	0
1	70	1	1	8	lStripCutReserve	0	0
1	70	5	5	8	lStripCutReserve	0	0
1	70	7	7	8	lStripCutReserve	0	0
1	75	1	1	0	lTotal	0	0
1	75	5	5	0	lTotal	0	0
1	75	7	7	0	lTotal	0	0
1	75	1	1	1	lAvailable	0	0
1	75	5	5	1	lAvailable	0	0
1	75	7	7	1	lAvailable	0	0
1	75	1	1	2	lMHA	0	0
1	75	5	5	2	lMHA	0	0
1	75	7	7	2	lMHA	0	0
1	75	1	1	3	lProtected	0	0
1	75	5	5	3	lProtected	0	0
1	75	7	7	3	lProtected	0	0
1	75	1	1	4	lDist	0	0
1	75	5	5	4	lDist	0	0
1	75	7	7	4	lDist	0	0
1	75	1	1	5	lAdjGreenup	0	0
1	75	5	5	5	lAdjGreenup	0	0
1	75	7	7	5	lAdjGreenup	0	0
1	75	1	1	6	lACReserve	0	0
1	75	5	5	6	lACReserve	0	0
1	75	7	7	6	lACReserve	0	0
1	75	1	1	7	lMosaicReserve	0	0
