Run	Year	CategoryId	Category	NetArea	TotalArea
1	115	8	lStripCutReserve	0	0
1	120	1	lAvailable	0	0
1	120	2	lMHA	0	0
1	120	3	lProtected	0	0
1	120	4	lDist	0	0
1	120	5	lAdjGreenup	0	0
1	120	6	lACReserve	0	0
1	120	7	lMosaicReserve	0	0
1	120	8	lStripCutReserve	0	0
1	125	1	lAvailable	0	0
1	125	2	lMHA	0	0
1	125	3	lProtected	0	0
1	125	4	lDist	0	0
1	125	5	lAdjGreenup	0	0
1	125	6	lACReserve	0	0
1	125	7	lMosaicReserve	0	0
1	125	8	lStripCutReserve	0	0
1	130	1	lAvailable	0	0
1	130	2	lMHA	0	0
1	130	3	lProtected	0	0
1	130	4	lDist	0	0
1	130	5	lAdjGreenup	0	0
1	130	6	lACReserve	0	0
1	130	7	lMosaicReserve	0	0
1	130	8	lStripCutReserve	0	0
1	135	1	lAvailable	0	0
1	135	2	lMHA	0	0
1	135	3	lProtected	0	0
1	135	4	lDist	0	0
1	135	5	lAdjGreenup	0	0
1	135	6	lACReserve	0	0
1	135	7	lMosaicReserve	0	0
1	135	8	lStripCutReserve	0	0
1	140	1	lAvailable	0	0
1	140	2	lMHA	0	0
1	140	3	lProtected	0	0
1	140	4	lDist	0	0
1	140	5	lAdjGreenup	0	0
1	140	6	lACReserve	0	0
1	140	7	lMosaicReserve	0	0
1	140	8	lStripCutReserve	0	0
1	145	1	lAvailable	0	0
1	145	2	lMHA	0	0
1	145	3	lProtected	0	0
1	145	4	lDist	0	0
1	145	5	lAdjGreenup	0	0
1	145	6	lACReserve	0	0
1	145	7	lMosaicReserve	0	0
1	145	8	lStripCutReserve	0	0
1	150	1	lAvailable	0	0
1	150	2	lMHA	0	0
1	150	3	lProtected	0	0
1	150	4	lDist	0	0
1	150	5	lAdjGreenup	0	0
1	150	6	lACReserve	0	0
1	150	7	lMosaicReserve	0	0
1	150	8	lStripCutReserve	0	0
1	155	1	lAvailable	0	0
1	155	2	lMHA	0	0
1	155	3	lProtected	0	0
1	155	4	lDist	0	0
1	155	5	lAdjGreenup	0	0
1	155	6	lACReserve	0	0
1	155	7	lMosaicReserve	0	0
1	155	8	lStripCutReserve	0	0
1	160	1	lAvailable	0	0
1	160	2	lMHA	0	0
1	160	3	lProtected	0	0
1	160	4	lDist	0	0
1	160	5	lAdjGreenup	0	0
1	160	6	lACReserve	0	0
1	160	7	lMosaicReserve	0	0
1	160	8	lStripCutReserve	0	0
1	165	1	lAvailable	0	0
1	165	2	lMHA	0	0
1	165	3	lProtected	0	0
1	165	4	lDist	0	0
1	165	5	lAdjGreenup	0	0
1	165	6	lACReserve	0	0
1	165	7	lMosaicReserve	0	0
