DensityID	probA	probB	probC	probD
230	0.05082	0.40842	0.46669	0.07407
10210	0.07216	0.53507	0.3481	0.04467
10200	0.09313	0.59574	0.27661	0.03452
10230	0.03239	0.49222	0.42252	0.05288
20210	0.07768	0.6065	0.28399	0.03183
20200	0.09774	0.65829	0.22	0.02398
20230	0.03575	0.57213	0.35348	0.03864
30210	0.08827	0.58204	0.29655	0.03314
30200	0.11134	0.63333	0.2303	0.02502
30230	0.25	0.25	0.25	0.25
40210	0.25	0.25	0.25	0.25
40200	0.11824	0.63047	0.23182	0.01946
40230	0.25	0.25	0.25	0.25
50210	0.25	0.25	0.25	0.25
50200	0.04769	0.67285	0.25717	0.0223
50230	0.25	0.25	0.25	0.25
1211	0.29447	0.31063	0.20239	0.19251
1201	0.36704	0.334	0.15532	0.14365
1231	0.25	0.25	0.25	0.25
11211	0.21261	0.42411	0.20759	0.15569
11201	0.26593	0.45763	0.15986	0.11658
11231	0.10352	0.42323	0.27334	0.19991
21211	0.23121	0.48564	0.17109	0.11207
21201	0.28109	0.5093	0.12805	0.08156
21231	0.25	0.25	0.25	0.25
31211	0.25656	0.45508	0.17445	0.11392
31201	0.31108	0.476	0.13023	0.08269
31231	0.25	0.25	0.25	0.25
41211	0.2753	0.45775	0.17743	0.08953
41201	0.33049	0.47404	0.13114	0.06434
41231	0.25	0.25	0.25	0.25
51211	0.12351	0.54344	0.21896	0.11409
51201	0.15528	0.58937	0.16948	0.08587
51231	0.25	0.25	0.25	0.25
2211	0.01055	0.11698	0.28772	0.58475
2201	0.25	0.25	0.25	0.25
2231	0.25	0.25	0.25	0.25
12211	0.00814	0.17075	0.31551	0.50559
12201	0.01248	0.2258	0.29776	0.46396
12231	0.0032	0.13753	0.3353	0.52397
22211	0.01069	0.23604	0.31392	0.43935
22201	0.01594	0.30364	0.2882	0.39221
22231	0.25	0.25	0.25	0.25
32211	0.01186	0.22125	0.32017	0.44672
32201	0.01778	0.28603	0.29541	0.40078
32231	0.25	0.25	0.25	0.25
42211	0.01396	0.24402	0.35706	0.38496
42201	0.02069	0.31197	0.3258	0.34154
42231	0.25	0.25	0.25	0.25
52211	0.0051	0.23607	0.35906	0.39976
52201	0.00763	0.30435	0.33038	0.35765
52231	0.25	0.25	0.25	0.25
211	0.18783	0.39379	0.2366	0.18178
201	0.25	0.25	0.25	0.25
231	0.25	0.25	0.25	0.25
10211	0.12758	0.50581	0.2283	0.13831
10201	0.16206	0.55424	0.17854	0.10517
10231	0.05944	0.48299	0.28764	0.16993
20211	0.13797	0.57593	0.1871	0.099
20201	0.17049	0.61393	0.14234	0.07323
20231	0.25	0.25	0.25	0.25
30211	0.15555	0.54836	0.19384	0.10224
30201	0.19225	0.58462	0.14749	0.07565
30231	0.25	0.25	0.25	0.25
40211	0.16759	0.55379	0.19794	0.08068
40201	0.20551	0.58582	0.14944	0.05923
40231	0.25	0.25	0.25	0.25
50211	0.25	0.25	0.25	0.25
50201	0.08801	0.66389	0.17605	0.07205
50231	0.25	0.25	0.25	0.25
1111	0.1125	0.28421	0.33943	0.26387
1101	0.15525	0.33835	0.2884	0.218
1131	0.04873	0.2523	0.39757	0.3014
11111	0.07879	0.37644	0.33774	0.20702
11101	0.10714	0.44158	0.28275	0.16852
11131	0.03412	0.33405	0.39545	0.23638
21111	0.09076	0.45657	0.29483	0.15784
21101	0.11933	0.51781	0.23864	0.12422
21131	0.25	0.25	0.25	0.25
31111	0.10177	0.43233	0.30378	0.16213
31101	0.13412	0.4915	0.24648	0.12791
31131	0.0455	0.39612	0.36725	0.19114
41111	0.11138	0.44353	0.31513	0.12996
41101	0.14544	0.49962	0.25335	0.10159
41131	0.25	0.25	0.25	0.25
51111	0.04418	0.46556	0.34383	0.14643
51101	0.05929	0.53898	0.28409	0.11764
51131	0.25	0.25	0.25	0.25
2111	0.25	0.25	0.25	0.25
2101	0.00461	0.10573	0.3402	0.54945
2131	0.00111	0.06023	0.3583	0.58037
12111	0.00225	0.11309	0.38302	0.50164
12101	0.00354	0.15341	0.37082	0.47223
12131	0.00087	0.0894	0.3995	0.51024
22111	0.00303	0.16013	0.39034	0.4465
22101	0.00467	0.21291	0.37042	0.412
22131	0.25	0.25	0.25	0.25
32111	0.00334	0.14926	0.39591	0.45148
32101	0.00517	0.19928	0.37725	0.4183
32131	0.0013	0.11901	0.41651	0.46318
42111	0.00394	0.16476	0.44191	0.38939
42101	0.00604	0.21825	0.41777	0.35794
42131	0.25	0.25	0.25	0.25
52111	0.00143	0.15788	0.44017	0.40053
52101	0.0022	0.21005	0.41795	0.3698
52131	0.25	0.25	0.25	0.25
111	0.06657	0.33422	0.36808	0.23113
101	0.25	0.25	0.25	0.25
131	0.02825	0.29069	0.4224	0.25866
10111	0.04497	0.42693	0.35322	0.17488
10101	0.06114	0.50079	0.2957	0.14236
10131	0.01925	0.37452	0.40884	0.1974
20111	0.05122	0.51203	0.3049	0.13185
20101	0.06743	0.58152	0.24714	0.10391
20131	0.25	0.25	0.25	0.25
30111	0.0579	0.48883	0.31673	0.13654
30101	0.07655	0.55754	0.25783	0.10808
30131	0.25	0.25	0.25	0.25
40111	0.25	0.25	0.25	0.25
40101	0.08296	0.5664	0.26485	0.08579
40131	0.25	0.25	0.25	0.25
50111	0.02433	0.50941	0.34692	0.11934
50101	0.03249	0.58686	0.28525	0.09541
50131	0.25	0.25	0.25	0.25
1211	0.08596	0.28146	0.42686	0.20572
1201	0.12027	0.33972	0.3677	0.17231
1231	0.03643	0.24447	0.48919	0.22991
11211	0.05907	0.3658	0.41675	0.15837
11201	0.08137	0.43464	0.35341	0.13058
11231	0.0251	0.31856	0.47887	0.17746
21211	0.0683	0.44533	0.36517	0.1212
21201	0.09109	0.51232	0.29983	0.09676
21231	0.25	0.25	0.25	0.25
31211	0.07666	0.4221	0.37662	0.12461
31201	0.10259	0.48728	0.3103	0.09983
31231	0.25	0.25	0.25	0.25
41211	0.08327	0.42981	0.38778	0.09914
41201	0.11072	0.49296	0.31742	0.07891
41231	0.25	0.25	0.25	0.25
51211	0.03242	0.44274	0.41521	0.10963
51201	0.04407	0.5192	0.34751	0.08921
51231	0.01378	0.38584	0.47744	0.12293
2211	0.0023	0.07906	0.45259	0.46606
2201	0.00366	0.10857	0.44361	0.44417
2231	0.00088	0.06191	0.46763	0.46959
12211	0.00174	0.11353	0.48827	0.39645
12201	0.00274	0.1536	0.47146	0.37221
12231	0.00067	0.08948	0.50778	0.40206
22211	0.00231	0.1586	0.49094	0.34815
22201	0.00356	0.21055	0.46515	0.32074
22231	0.0009	0.12633	0.51596	0.35681
32211	0.00255	0.14778	0.49776	0.3519
32201	0.00394	0.19699	0.47354	0.32552
32231	0.25	0.25	0.25	0.25
