Run	Year	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	areaBurned
1	0	58571.250000	81552.000000	85688.250000	99154.000000	51786.500000	0	13742.500000	0	0	0	0	0	0	0	0	0	0
1	5	58571.250000	81552.000000	85688.250000	99154.000000	51786.500000	0	13742.500000	0	0	0	0	0	0	0	0	0	126111.750000
1	10	35285.250000	64817.750000	93579.000000	75367.000000	81577.500000	26125.500000	13742.500000	0	0	0	0	0	0	0	0	0	151067.500000
1	15	22913.750000	57453.000000	82312.250000	85665.000000	89273.000000	39135.000000	13742.500000	0	0	0	0	0	0	0	0	0	107170.250000
1	20	13671.750000	54311.500000	82929.750000	88928.500000	91584.250000	45326.250000	7858.000000	5884.500000	0	0	0	0	0	0	0	0	140944.250000
1	25	8336.000000	54518.500000	83393.250000	88135.500000	94365.250000	48003.500000	4821.250000	8921.250000	0	0	0	0	0	0	0	0	169490.750000
1	30	5121.750000	49398.500000	77283.750000	87280.250000	87503.500000	62623.250000	11209.750000	10073.750000	0	0	0	0	0	0	0	0	191197.250000
1	35	1903.500000	44784.000000	69768.250000	82329.500000	90753.000000	70154.750000	19396.750000	11404.750000	0	0	0	0	0	0	0	0	126994.500000
1	40	925.500000	36570.750000	60908.000000	82433.250000	89473.500000	79649.750000	28081.000000	9534.750000	2918.000000	0	0	0	0	0	0	0	71814.000000
1	45	386.750000	27059.750000	59127.500000	80877.750000	90412.750000	84040.250000	35543.500000	7436.000000	5610.250000	0	0	0	0	0	0	0	101129.500000
1	50	238.750000	21465.500000	53294.750000	77139.750000	89739.500000	80687.750000	49478.250000	11202.500000	7247.750000	0	0	0	0	0	0	0	166931.750000
1	55	156.250000	16873.500000	47864.750000	71616.750000	86386.000000	83213.750000	59242.250000	16390.500000	8750.750000	0	0	0	0	0	0	0	129057.000000
1	60	100.250000	12365.250000	43827.250000	65804.750000	83603.250000	84040.000000	68299.750000	22561.250000	7457.500000	2435.250000	0	0	0	0	0	0	114949.500000
1	65	28.250000	8102.500000	39809.250000	60479.250000	80424.750000	87953.250000	75403.250000	27433.250000	6238.750000	4622.000000	0	0	0	0	0	0	84221.000000
1	70	3.000000	3968.250000	34376.750000	57258.500000	74695.500000	89872.000000	75294.250000	39172.250000	9624.750000	6229.250000	0	0	0	0	0	0	82651.250000
1	75	1.500000	2473.250000	28915.500000	55178.000000	68102.750000	87822.250000	77002.750000	49894.250000	13830.750000	7273.500000	0	0	0	0	0	0	135326.500000
