Run	Year	Zone	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	VolHarvested	AreaHarvested	AreaAccessed	MeanVolPerHa	PercentOfTarget	MeanHarvestAge	KmPerM3Hauled	areaBurned
1	50	rSQ	21.250000	14420.250000	41163.250000	66189.250000	59259.500000	59238.750000	43472.250000	9242.250000	4717.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32583.000000
1	50	rIM	0	87.000000	5026.250000	8875.000000	10657.000000	13532.250000	6715.250000	577.750000	626.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3514.000000
1	50	rPA	18.000000	2258.000000	4339.750000	5757.000000	10110.500000	13689.000000	6914.250000	2030.250000	1557.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4110.500000
1	55	rSQ	0	6172.000000	38808.750000	60109.250000	61889.000000	57771.250000	52006.000000	14470.250000	6497.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	55	rIM	0	17.750000	2522.500000	9306.250000	9315.500000	12700.250000	10122.250000	1420.500000	691.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	55	rPA	0	1189.250000	4357.750000	4812.250000	9266.000000	13406.250000	9097.750000	2558.500000	1986.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	60	rSQ	0	4246.000000	35809.000000	54668.000000	63336.500000	57836.750000	55649.750000	18815.750000	6540.250000	822.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	134285.000000
1	60	rIM	0	7.250000	1386.250000	9308.000000	8700.250000	11527.000000	12472.250000	1972.250000	396.000000	327.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	13115.250000
1	60	rPA	0	861.000000	4107.750000	4267.250000	8373.000000	12522.250000	11093.750000	3237.000000	1894.500000	317.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	13985.500000
1	65	rSQ	0	2670.000000	32271.000000	48341.000000	65943.750000	57199.250000	60097.000000	23124.500000	6101.250000	1976.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	119597.500000
1	65	rIM	0	0.500000	647.500000	8500.250000	8494.500000	11020.500000	14021.250000	2663.750000	273.000000	475.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	4080.250000
1	65	rPA	0	551.500000	3848.250000	4044.500000	8028.750000	11757.500000	12598.000000	3426.500000	1658.500000	760.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	21627.500000
1	70	rSQ	0	1846.250000	28558.250000	44144.000000	63938.250000	57064.000000	58585.750000	32598.750000	8052.000000	2937.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	132980.000000
1	70	rIM	0	0.500000	434.250000	6368.500000	9060.750000	10620.500000	12978.500000	5668.750000	394.000000	570.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	19384.750000
1	70	rPA	0	407.750000	3619.750000	3791.500000	6934.500000	10970.750000	12759.750000	5339.500000	1689.750000	1160.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	17862.750000
1	75	rSQ	0	1125.000000	24513.750000	40380.250000	61736.500000	57797.750000	59573.250000	38984.500000	9685.000000	3928.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	124287.000000
1	75	rIM	0	0	152.000000	3969.250000	9635.000000	9027.250000	13264.750000	8591.500000	817.500000	639.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	899.000000
1	75	rPA	0	266.000000	3307.750000	3684.250000	6063.250000	9782.250000	12982.750000	7164.750000	1995.750000	1427.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	18877.750000
1	80	rSQ	0	604.500000	19545.250000	35754.000000	59147.250000	58965.000000	59690.250000	45923.000000	13144.500000	4426.250000	524.250000	0	0	0	0	0	0	0	0	0	0	0	0	63707.750000
1	80	rIM	0	0	100.500000	2566.500000	9805.250000	8528.000000	12454.250000	10472.500000	1494.750000	364.750000	310.000000	0	0	0	0	0	0	0	0	0	0	0	0	12077.000000
1	80	rPA	0	206.000000	2898.250000	3547.500000	5364.750000	8811.500000	13016.000000	8780.250000	2454.750000	1410.000000	184.750000	0	0	0	0	0	0	0	0	0	0	0	0	14487.250000
1	85	rSQ	0	344.000000	15355.500000	33887.000000	54433.250000	59544.500000	59934.250000	51453.000000	16877.000000	4498.000000	1397.750000	0	0	0	0	0	0	0	0	0	0	0	0	91369.250000
1	85	rIM	0	0	24.250000	1343.500000	9301.250000	8423.250000	11600.750000	12424.000000	2265.500000	291.000000	423.000000	0	0	0	0	0	0	0	0	0	0	0	0	159.750000
1	85	rPA	0	142.750000	2430.750000	3489.500000	4586.750000	8094.500000	12482.000000	10513.750000	3128.000000	1332.750000	473.000000	0	0	0	0	0	0	0	0	0	0	0	0	9898.750000
1	90	rSQ	0	66.750000	8596.250000	31872.000000	48298.000000	59619.750000	58832.750000	54845.750000	26545.000000	6608.750000	2439.250000	0	0	0	0	0	0	0	0	0	0	0	0	0
1	90	rIM	0	0	6.000000	671.000000	7190.750000	8686.000000	10623.750000	12972.000000	5020.750000	373.750000	552.500000	0	0	0	0	0	0	0	0	0	0	0	0	0
